1,1585,1563,3,3
2,1584,1564,3,3
12,1585,13,1,0
13,1584,14,1,0
23,1585,1,0,2
24,1584,2,0,2
34,1585,35,2,1
35,1584,36,2,1
45,1585,23,0,3
46,1584,24,0,3
56,1585,57,2,1
57,1584,58,2,1
67,1585,45,0,3
68,1584,46,0,3
78,1585,79,2,1
79,1584,80,2,1
89,1585,67,0,3
90,1584,68,0,3
90,1585,68,0,3
92,1585,70,0,3
100,1585,101,2,1
101,1584,102,2,1
104,1585,82,0,3
106,1585,84,0,3
111,1585,89,0,3
112,1584,90,0,3
112,1585,90,0,3
113,1585,91,0,3
114,1585,92,0,3
115,1585,93,0,3
122,1585,123,2,1
123,1584,124,2,1
126,1585,104,0,3
127,1585,105,0,3
128,1585,106,0,3
129,1585,107,0,3
133,1585,155,3,0
134,1584,112,0,3
134,1585,112,0,3
144,1585,145,2,1
145,1584,146,2,1
149,1585,127,0,3
151,1585,129,0,3
155,1585,177,3,0
156,1584,134,0,3
166,1585,167,2,1
167,1584,168,2,1
177,1585,199,3,0
178,1584,156,0,3
188,1585,189,2,1
189,1584,190,2,1
199,1585,221,3,0
200,1584,178,0,3
210,1585,211,2,1
211,1584,212,2,1
221,1585,243,3,0
222,1584,200,0,3
232,1585,233,2,1
233,1584,234,2,1
243,1585,265,3,0
244,1584,222,0,3
254,1585,255,2,1
255,1584,256,2,1
265,1585,287,3,0
266,1584,244,0,3
276,1585,277,2,1
277,1584,278,2,1
287,1585,309,3,0
288,1584,266,0,3
298,1585,299,2,1
299,1584,300,2,1
309,1585,331,3,0
310,1584,288,0,3
320,1585,321,2,1
321,1584,322,2,1
331,1585,353,3,0
332,1584,310,0,3
342,1585,343,2,1
343,1584,344,2,1
353,1585,375,3,0
354,1584,332,0,3
364,1585,365,2,1
365,1584,366,2,1
375,1585,397,3,0
376,1584,354,0,3
386,1585,387,2,1
387,1584,388,2,1
397,1585,419,3,0
398,1584,376,0,3
408,1585,409,2,1
409,1584,410,2,1
419,1585,441,3,0
420,1584,398,0,3
430,1585,431,2,1
431,1584,432,2,1
441,1585,463,3,0
442,1584,420,0,3
452,1585,453,2,1
453,1584,454,2,1
463,1585,485,3,0
464,1584,442,0,3
474,1585,475,2,1
475,1584,476,2,1
485,1585,507,3,0
486,1584,464,0,3
496,1585,497,2,1
497,1584,498,2,1
507,1585,529,3,0
508,1584,486,0,3
518,1585,519,2,1
519,1584,520,2,1
529,1585,551,3,0
530,1584,508,0,3
540,1585,541,2,1
541,1584,542,2,1
551,1585,573,3,0
552,1584,530,0,3
562,1585,563,2,1
563,1584,564,2,1
573,1585,595,3,0
574,1584,552,0,3
584,1585,585,2,1
585,1584,586,2,1
595,1585,617,3,0
596,1584,574,0,3
606,1585,607,2,1
607,1584,608,2,1
617,1585,639,3,0
618,1584,596,0,3
628,1585,629,2,1
629,1584,630,2,1
639,1585,661,3,0
640,1584,618,0,3
650,1585,651,2,1
651,1584,652,2,1
661,1585,683,3,0
662,1584,640,0,3
672,1585,673,2,1
673,1584,674,2,1
683,1585,705,3,0
684,1584,662,0,3
686,1584,664,0,3
687,1584,665,0,3
694,1585,695,2,1
695,1584,696,2,1
699,1584,677,0,3
700,1584,678,0,3
705,1585,727,3,0
706,1584,684,0,3
707,1584,685,0,3
708,1584,686,0,3
709,1584,687,0,3
716,1585,717,2,1
717,1584,718,2,1
720,1584,698,0,3
721,1584,699,0,3
722,1584,700,0,3
727,1585,749,3,0
728,1584,750,3,0
729,1584,707,0,3
731,1584,709,0,3
738,1585,739,2,1
739,1584,740,2,1
742,1584,720,0,3
743,1584,721,0,3
744,1584,722,0,3
749,1585,771,3,0
750,1584,772,3,0
760,1585,761,2,1
761,1584,762,2,1
771,1585,793,3,0
772,1584,794,3,0
782,1585,783,2,1
783,1584,784,2,1
793,1585,815,3,0
794,1584,816,3,0
804,1585,805,2,1
805,1584,806,2,1
815,1585,837,3,0
816,1584,838,3,0
826,1585,827,2,1
827,1584,828,2,1
837,1585,859,3,0
838,1584,860,3,0
848,1585,849,2,1
849,1584,850,2,1
859,1585,881,3,0
860,1584,882,3,0
870,1585,871,2,1
871,1584,872,2,1
881,1585,903,3,0
882,1584,904,3,0
